provincia,cud_vigentes,poblacion_2022,tasa_prevalencia,fecha_datos
Buenos Aires,680333,17542625,3.88,2023-11-01
CABA,163114,3120612,5.23,2023-11-01
Santa Fe,124441,3556522,3.5,2023-11-01
Córdoba,112777,3978984,2.83,2023-11-01
Mendoza,67148,2014533,3.33,2023-11-01
Entre Ríos,47890,1426949,3.36,2023-11-01
Tucumán,46203,1703186,2.71,2023-11-01
Salta,38901,1441988,2.7,2023-11-01
Chaco,31245,1204541,2.59,2023-11-01
Corrientes,30112,1120801,2.69,2023-11-01
Misiones,29887,1261294,2.37,2023-11-01
Santiago del Estero,26334,1017170,2.59,2023-11-01
Jujuy,22111,770881,2.87,2023-11-01
Río Negro,21445,747610,2.87,2023-11-01
Neuquén,20889,664057,3.15,2023-11-01
Formosa,18223,605193,3.01,2023-11-01
San Juan,17667,781406,2.26,2023-11-01
Chubut,16334,618994,2.64,2023-11-01
La Pampa,12001,368550,3.26,2023-11-01
San Luis,11778,508328,2.32,2023-11-01
Catamarca,10445,415438,2.51,2023-11-01
La Rioja,9334,393531,2.37,2023-11-01
Santa Cruz,9001,333473,2.7,2023-11-01
Tierra del Fuego,4445,190641,2.33,2023-11-01
